ParticipantID,SEX,ParticipantAge,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExpect,YearsLeftLive
249,1,66,2,21,2,2,2,1,7,1,7,1,4,1,1,1,7,4,4,7,1,-2.22400635515272,-1.30329764467567,-1.39039707310177,-.27815803695894,6,6,7,7,7,7,7,6,7,7,7,5,7,7,7,7,7,7,7,7,2,30
348,0,47,1,27,1,1,1,5,4,3,4,3,4,3,2,2,2,5,2,6,2,-1.36570651320956,-1.30329764467567,-1.39039707310177,-.27815803695894,5,6,6,6,7,4,7,7,7,7,7,6,6,6,7,6,6,6,6,6,2,20
352,0,33,4,16,2,1,10,6,4,1,7,5,4,6,7,4,7,4,6,7,5,.350893170676764,.500040728977605,-.612600690624048,.484533354702674,6,4,7,6,7,6,7,5,6,5,7,5,7,5,7,5,6,7,4,6,2,50
377,0,28,2,19,2,1,0,1,7,4,5,1,4,1,1,1,5,7,1,4,5,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.04084942862055,5,6,4,7,6,2,6,5,6,6,1,5,6,4,4,7,6,6,7,7,2,40
45,0,70,23,18,12,0,0,3,3,3,3,2,6,4,5,5,2,6,3,5,2,-1.36570651320956,-1.30329764467567,-.612600690624048,.484533354702674,3,5,5,7,3,3,1,1,3,2,2,3,1,2,5,4,3,4,2,2,2,10
47,0,32,3,21,1,1,7,1,7,3,7,5,5,2,6,5,5,4,2,5,6,1.20919301261993,.500040728977605,.942992074331398,1.24722474636429,5,6,6,6,5,5,7,6,7,7,7,7,6,5,4,6,4,5,4,5,3,55
61,0,76,45,18,25,0,0,5,3,4,1,6,4,5,5,5,1,4,5,4,1,-2.22400635515272,-2.20496683150231,-1.39039707310177,-.27815803695894,4,5,5,5,3,3,2,2,5,4,3,2,4,3,3,4,3,3,3,4,2,30
62,0,59,9,16,14,1,0,2,3,3,1,1,5,2,4,5,2,5,5,5,2,.350893170676764,-.401628457849034,.165195691853675,-.27815803695894,6,5,6,5,5,3,6,5,6,5,7,6,5,5,5,5,5,5,4,4,2,25
73,0,35,6,16,12,1,2,2,2,2,7,1,6,7,5,2,7,5,1,6,7,1.20919301261993,.500040728977605,.165195691853675,.484533354702674,5,4,5,5,5,5,6,6,6,6,7,2,4,4,4,5,4,4,4,6,2,50
93,0,31,1,21,1,1,6,1,4,3,2,1,6,1,1,1,1,7,1,7,4,.350893170676764,.500040728977605,-.612600690624048,.484533354702674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,50
101,0,33,8,14,26,1,20,1,7,1,1,1,7,1,1,3,1,5,3,6,3,1.20919301261993,1.40170991580424,.942992074331398,.484533354702674,6,7,4,7,4,1,7,7,7,7,7,5,3,6,4, ,5,5,7,6,2,35
124,1,42,5,17,8,1,1,1,1,4,6,1,4,1,1,4,6,4,1,4,6,-.507406671266396,.500040728977605,.942992074331398,-.27815803695894,5,5,6,6,4,5,6,6,6,6,7,4,6,6,6,6,6,6,6,4,2,30
125,1,40,3,17,2,1,6,1,2,2,6,2,5,2,2,2,6,6,2,6,6,-.507406671266396,-.401628457849034,-.612600690624048,-.27815803695894,2,2,2,2,2,2,4,4,7,7,7,7,7,4,2,6,2,6,6,6,0,40
134,1,39,5,18,5,1,6,2,2,2,5,2,7,2,5,3,5,6,2,4,5,-.507406671266396,.500040728977605,.165195691853675,-.27815803695894,5,6,7,7,6,2,2,1,7,6,2,6,5,5,6,5,6,6,6,5,2,40
135,1,43,4,15,4,1,8,3,7,7,1,1,6,2,1,4,1,6,3,6,1,-.507406671266396,-.401628457849034,.165195691853675,-1.04084942862055,5,6,6,6,5,3,4,4,7,2,7,7,6,6,6,5,6,6,2,6,2,30
139,1,50,2,19,2,1,4,1,3,1,1,1,3,1,1,1,1,7,1,7,7,-2.22400635515272,-1.30329764467567,-1.39039707310177,-.27815803695894,7,7,3,7,7,7,1,1,1,1,7,7,3,1,6,4,2,6,1,2,2,50
