ParticipantID,SEX,ParticipantAge,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
341,0,25,6,6,5,5,4,5,6,4,6,4,5,4
342,0,29,1,6,1,7,1,6,6,6,7,6,7,7
343,0,62,2,2,1,5,1,2,2,2,4,2,4,2
345,0,27,5,6,3,3,5,6,4,3,5,4,6,5
346,0,53,5,5,5,4,7,6,2,6,5,2,4,6
347,0,32,4,4,5,3,5,4,5,5,4,5,2,5
349,0,32,4,5,5,5,4,4,5,6,6,5,5,5
350,0,26,4,4,5,6,5,5,4,5,5,5,5,5
353,0,34,1,6,1,5,4,5,3,6,6,3,7,5
354,0,26,1,1,1,7,1,1,5,1,7,6,7,1
357,0,27,2,5,5,6,2,5,2,6,6,2,5,6
358,0,43,1,4,4,7,1,4,1,4,7,2,7,6
359,0,42,2,1,3,7,2,4,2,1,7,4,7,1
360,0,44,5,4,5,6,4,5,6,4,3,5,6,5
361,0,39,5,5,5,5,5,4,6,6,6,5,4,6
362,0,71,6,7,6,7,7,6,2,7,6,6,6,7
363,0,24,5,3,2,5,3,5,1,5,2,6,3,5
364,0,29,5,2,5,3,4,3,3,6,5,3,5,4
365,0,32,2,1,2,7,2,2,1,1,7,1,7,5
366,0,34,2,7,5,4,5,2,4,7,7,1,7,6
368,0,32,5,6,5,5,5,5,6,5,6,5,5,6
371,0,30,4,4,3,4,4,1,3,1,3,4,1,1
373,0,45,1,7,1,7,1,1,4,7,7,1,7,7
374,0,29,2,5,6,6,1,4,1,5,7,1,6,2
375,0,49,1,6,2,7,2,3,5,6,6,4,6,7
378,0,29,1,6,1,6,1,5,4,6,6,1,6,6
380,0,31,1,7,1,6,1,1,1,6,7,1,6,5
381,0,31,1,7,1,7,1,2,1,7,6,1,6,7
382,0,43,6,3,4,3,5,3,3,5,5,2,4,4
385,0,27,1,5,1,7,1,1,1,6,7,1,6,6
387,0,57,4,6,4,6,3,3,4,6,6,4,6,6
388,0,21,1,6,4,7,5,7,5,7,7,6,7,1
389,0,29,1,7,1,7,1,1,1,7,7,1,7,7
390,0,38,5,5,6,5,2,3,4,2,6,3,3,1
391,0,32,1,2,1,7,1,1,2,6,6,5,6,6
392,0,30,2,4,1,5,2,5,4,3,4,2,4,4
393,0,40,1,6,1,6,2,2,1,6,5,1,5,5
394,0,62,3,1,2,5,1,1,1,1,7,1,7,4
395,0,33,3,2,2,7,2,6,6, ,6,5,7,2
396,0,42,4,4,4,5,4,5,4,4,6,4,5,5
397,0,25,6,5,6,5,6,6,4,4,4,5,4,5
398,0,36,1,1,1,4,1,1,1,1,6,1,5,3
399,0,35,1,5,6,5,4,6,3,5,6,3,5,3
400,0,33,5,5,5,7,7,6,7,5,7,5,7,5
