Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
395,0,33,1,3,1,8,3,2,1,3,4,6,2,2,7,2,6,6, ,6,5,7,2
400,0,33,1,26,1,17,26,1,20,5,7,7,5,5,7,7,6,7,5,7,5,7,5
323,0,33,0,7,1,26,5,1,0,2,7,6,7,1,5,1,4,2,7,6,2,6,5
34,0,32,1,5,1,27,1,1,8,1,2,6,2,2,6,2,2,2,3,5,2,7,2
47,0,32,1,3,1,21,1,1,7,1,1,5,7,5,5,2,6,5,5,4,2,5,6
52,0,32,1,7,1,17,12,1,15,5,6,6,5,3,6,4,2,4,6,6,4,6,4
94,0,32,1,3,1,18,3,1,5,2,1,2,2,1,3,2,2,1,2,2,1,1,3
144,1,32,1,5,1,17,5,1,30,1,7,7,7,1,7,1,1,7,7,7,7,7,7
168,1,32,1,3,1,18,3,1,6,2,2,5,5,6,5,5,1,1,5,5,5,6,6
187,1,32,1,3,1,21,1,1,4,4,3,3,4,4,3,2,3,4,4,4,3,3,3
211,1,32,1,1,1,23,1,1,1,1,5,4,5,1,4,1,1,1,5,5,1,5,5
216,1,32,1,2,1,23,5,1,2,2,6,6,6,2,6,2,6,2,6,6,2,6,2
226,1,32,1,6,1,19,6,1,1,1,4,5,6,1,4,1,6,1,6,7,1,6,6
258,1,32,1,5,1,19,5,1,6,1,7,5,1,1,3,1,1,2,1,7,1,6,1
271,1,32,1,11,1,18,11,1,8,1,4,3,2,1,6,1,5,1,2,7,1,7,2
281,1,32,1,10,1,19,8,1,0,5,5,6,3,3,5,3,4,4,4,3,2,5,4
322,0,32,1,12,1,21,4,1,18,1,7,7,7,4,7,4,7,4,7,7,1,7,3
324,0,32,1,5,1,21,4,1,4,2,6,7,6,1,5,1,5,3,7,5,3,4,7
347,0,32,1,5,1,20,5,1,1,4,4,5,4,5,3,5,4,5,5,4,5,2,5
349,0,32,1,1,1,31,1,1,2,4,6,4,5,5,5,4,4,5,6,6,5,5,5
365,0,32,1,3,1,25,1,1,20,2,6,4,1,2,7,2,2,1,1,7,1,7,5
368,0,32,1,1,1,26,1,1,35,5,6,5,6,5,5,5,5,6,5,6,5,5,6
42,0,32,0,5,1,18,23,19,3,6,6,7,7,4,7,5,5,6,7,6,4,6,4
99,0,32,0,5,1,15,4,1,0,2,7,7,6,4,6,4,2,2,6,6,6,7,6
391,0,32,0,0,2, ,0,0,0,1,4,6,2,1,7,1,1,2,6,6,5,6,6
40,0,31,1,1,1,27,1,1,0,5,6,5,4,4,5,5,3,2,1,1,2,1,2
93,0,31,1,1,1,21,1,1,6,1,4,5,2,1,6,1,1,1,1,7,1,7,4
163,1,31,1,1,1,17,1,1,0,3,5,5,5,1,3,1,1,1,5,5,1,4,5
200,1,31,1,3,1, ,1,1,1,6,5,6,5,7,6,5,6,5,7,6,7,7,5
209,1,31,1,3,1,17,10,1,5,1,1,5,6,4,6,5,1,1,7,6,1,6,7
245,1,31,1,1,1,16,1,1,1,2,5,2,2,4,2,6,3,6,4,3,2,5,6
305,1,31,1,2,1,27,1,1,1,2,2,1,2,2,4,1,1,2,2,6,1,6,5
380,0,31,1,2,1,17,1,1,18,1,4,6,7,1,6,1,1,1,6,7,1,6,5
381,0,31,1,12,1,14,10,1,5,1,1,7,7,1,7,1,2,1,7,6,1,6,7
244,1,30, ,1,1,21,1,1,8,1,2,1,2,1,1,1,1,1,1,3,1,1,1
21,0,30,1,5,1,14,25,1,7,4,4,4,4,4,6,4,4,4,4,5,4,6,5
24,0,30,1,1,2, ,0,0,0,1,1,1,1,1,1,1,6,6,6,6,6,7,5
75,0,30,1,20,1,16,20,1,15,1,1,1,1,1,5,1,1,1,1,6,1,7,1
76,0,30,1,5,1,16,16,1,10,2,2,6,6,2,6,2,6,5,6,7,4,6,6
116,0,30,1,2,1,20,2,2,5,6,7,5,4,6,7,6,5,6,5,5,3,4,6
184,1,30,1,7,1,17,25,1,3,1,5,6,5,1,4,1,2,2,6,2,2,4,2
229,1,30,1,10,1,17,25,2,10,1,5,5,7,1,4,1,3,2,6,5,1,3,3
270,1,30,1,3,1,19,3,1,8,4,5,5,6,6,6,5,5,4,6,6,6,6,6
280,1,30,1,4,1,18,10,1,2,2,7,6,4,5,5,5,2,5,4,4,6,5,5
321,0,30,1,2,1,24,2,2,2,3,2,1,2,1,2,2,5,5,5,6,6,5,5
335,0,30,1,5,1,23,1,1,8,1,1,6,6,4,5,1,1,1,6,6,1,6,2
344,0,30,1,2,1,18,3,1,1,5,4,3,3,5,5,3,3,4,5,4,3,3,5
351,0,30,1,1,1,16,2,2,2,5,6,4,4,4,5,5,3,5,6,6,5,5,5
392,0,30,1,5,1,17,5,1,15,2,6,3,4,1,5,2,5,4,3,4,2,4,4
23,0,30,0,1,1,28,1,0,0,1,7,5,2,1,5,1,1,1,2,6,1,5,6
307,0,30,0,1,1,28,1,0,0,1,7,5,2,1,5,1,1,1,2,6,1,5,6
26,0,29,1,3,1,19,3,2,6,6,6,4,6,6,6,2,7,4,7,7,1,7,6
43,0,29,1,1,1,25,1,1,2,7,7,4,1,1,4,1,1,1,5,7,1,7,7
44,0,29,1,5,1,18,4,2,5,7,5,5,5,3,6,3,5,4,6,4,6,4,6
72,0,29,1,2,1,28,1,1,1,6,5,6,7,5,6,7,5,6,7,5,6,5,6
106,0,29,1,5,1,15,5,1,30,6,5,5,6,6,7,5,3,3,4,5,5,5,4
110,0,29,1,1,1,28,1,1,3,6,4,6,4,3,6,7,6,4,7,6,4,7,5
145,1,29,1,2,2, ,0,0,0,6,4,3,3,5,3,4,5,1,5,2,3,3,4
154,1,29,1,1,1,19,1,1,20,7,6,6,1,6,6,6,7,7,6,7,7,7,7
161,1,29,1,2,1,19,2,1,5,6,5,7,6,5,6,6,6,5,7,6,5,6,7
167,1,29,1,1,1,25,1,1,12,1,1,5,2,7,1,7,2,1,1,7,1,7,1
189,1,29,1,5,1,16,3,1,2,2,2,6,1,1,5,1,1,1,1,5,1,5,2
235,1,29,1,6,1,17,10,1,5,2,3,5,6,5,5,2,5,5,6,6,5,6,5
242,1,29,1,1,1,17,2,2,5,2,4,6,4,1,4,1,1,1,4,4,1,4,5
255,1,29,1,3,1,17,2,1,3,1,4,6,3,1,7,1,5,1,4,7,1,7,1
272,1,29,1,2,1,20,2,2,2,3,5,6,6,5,5,5,2,4,3,3,5,5,6
275,1,29,1,2,1,21,2,2,0,6,7,5,3,5,6,4,3,6,7,6,5,3,5
311,0,29,1,1,1,20,1,1,6,5,5,4,4,4,5,4,6,5,4,4,3,4,4
315,0,29,1,10,1,26,1,1,4,1,4,6,3,5,3,5,3,7,5,3,5,4,6
317,0,29,1,5,1,14,12,5,4,5,5,6,5,4,5,3,4,5,5,6,3,5,5
342,0,29,1,7,1,16,7,1,22,1,7,6,6,1,7,1,6,6,6,7,6,7,7
364,0,29,1,5,1,17,9,1,3,5,3,4,2,5,3,4,3,3,6,5,3,5,4
378,0,29,1,6,1,18,4,1,8,1,5,6,6,1,6,1,5,4,6,6,1,6,6
384,0,29,1,1,1,18,1,1,1,6,4,4,5,4,7,6,4,6,5,3,5,5,3
389,0,29,1,4,1,24,3,1,5,1,7,7,7,1,7,1,1,1,7,7,1,7,7
131,1,29,0,1,1,20,11,1,0,1,7,7,1,1,7,1,2,4,1,7,2,7,1
374,0,29,0,10,1,17,11,0,0,2,6,6,5,6,6,1,4,1,5,7,1,6,2
38,0,28,1,3,1,17,4,1,0,3,5,5,2,4,5,4,1,3,2,5,3,5,6
68,0,28,1,6,1,18,4,1,1,7,4,5,5,2,4,2,6,2,6,7,2,7,7
108,0,28,1,5,2, ,0,0,0,6,2,6,6,2,5,2,2,2,2,2,2,3,5
113,0,28,1,2,1,27,2,1,1,5,6,5,2,5,6,6,7,6,6,4,5,2,3
117,0,28,1, ,1,13,4,1,4,5,4,7,6,5,6,7,7,7,5,7,6,6,4
136,1,28,1,1,1,16,1,1,3,1,7,6,5,1,4,1,1,1,4,5,1,6,4
217,1,28,1,5,1,18,5,3,4,7,6,7,6,6,7,6,7,6,5,6,5,6,6
