ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
179,1,33,0,13,15,10,1,8,2,7,1,6,1,6,1,7,6,1,7,3
180,1,55,0,4,15,4,1,4,2,2,2,7,2,2,2,2,5,1,6,2
181,1,27,1,5,21,1,1,6,6,5,5,6,4,5,6,4,7,5,5,6
183,1,58,0,3,18, ,0,2,1,5,1,6,1,1,1,5,7,1,7,7
184,1,30,0,7,17,25,1,3,1,5,1,4,1,2,2,6,2,2,4,2
186,1,60,1,20,18,15,0,0,6,2,2,5,1,4,4,1,6,1,6,2
187,1,32,0,3,21,1,1,4,4,4,4,3,2,3,4,4,4,3,3,3
188,1,70,0,1,19,2,1,2,1,1,2,3,1,1,1,1,7,1,7,6
189,1,29,0,5,16,3,1,2,2,1,1,5,1,1,1,1,5,1,5,2
190,1,46,0,2,22,3,1,6,4,2,2,6,2,2,2,2,6,2,3,2
191,1,37,0,6,20,6,1,20,1,6,1,6,1,1,1,6,7,1,7,1
192,1,41,0,4,21,2,1,0,3,4,4,5,3,2,2,4,5,2,6,4
193,1,46,0,10,18,5,1,15,5,6,1,6,1,2,6,6,7,3,7,4
194,1,56,1,20,15,25,0,0,3,2,2,6,2,2,5,2,5,4,6,5
195,1,25,1,1,24,4,1,0,1,7,1,7,1,6,1,7,7,1,7,5
196,1,49,1,6,15,12,2,1,3,2,3,5,3,2,3,3,5,4,7,5
197,1,41,1,6,17,5,1,2,2,2,2,6,2,2,4,3,6,3,6,3
198,1,34,0,5,17,32,3,1,4,7,4,7,6,6,5,6,7,6,5,6
199,1,60,0,5,15,6,1,0,5,6,1,6,1,5,1,6,7,1,7,1
200,1,31,0,3, ,1,1,1,6,5,7,6,5,6,5,7,6,7,7,5
201,1,35,0,20,17,40,1,1,2,4,5,4,5,3,2,4,6,2,5,2
202,1,50,0,4,21,9,1,12,1,4,1,5,1,1,1,5,5,1,5,5
203,1,48,0,5,18,5,1,5,1,1,1,7,1,1,1,1,7,1,7,3
204,1,42,0,4,21,4,1,30,1,6,1,7,1,1,1,6,5,1,5,6
205,1,48,0,5,16,21,1,1,2,5,1,6,1,2,1,5,6,1,4,4
206,1,48,0,5,28,5,1,4,1,6,1,5,1,3,4,6,5,2,3,2
207,1,41,1,6,15,65,1,0,2,1,5,7,2,5,7,2,5,2,3,1
208,1,60,0,50,15,80,1,10,1,4,1,6,1,2,4,4,5,1,6,6
209,1,31,0,3,17,10,1,5,1,6,4,6,5,1,1,7,6,1,6,7
210,1,38,0,6,17,6,1,13,1,3,1,7,1,1,1,1,6,1,6,2
211,1,32,0,1,23,1,1,1,1,5,1,4,1,1,1,5,5,1,5,5
212,1,48,0,8,16,20,1,0,1,3,1,5,1,3,1,2,6,1,6,2
213,1,45,1,3,24,17,1,4,1,1,1,5,1,1,1,2,4,1,4,1
214,1,39,0,30,17,30,1,20,1,7,5,6,1,3,1,7,6,1,6,7
215,1,58,1,10,17,10,0,0,2,5,4,4,4,4,4,4,4,4,4,4
216,1,32,0,2,23,5,1,2,2,6,2,6,2,6,2,6,6,2,6,2
217,1,28,0,5,18,5,3,4,7,6,6,7,6,7,6,5,6,5,6,6
218,1,19,1,0, ,0,0,0, , , , , , , , , , , , 
219,1,56,0,18,16,8,1,0,2,5,1,5,1,2,6,5,6,5,6,5
220,1,52,0,6,17, ,1,0,7,4,1,6,1,1,1,4,7,1,4,4
221,1,39,0,3,17,3,1,20,3,3,2,6,3,2,3,5,2,3,6,2
222,1,26,0,4,16,4,1,1,2,6,2,6,2,2,2,6,7,2,7,6
223,1,26,0,3,21,4,1,10,6,6,6,5,4,4,6,6,5,4,4,5
225,1,45,0,4,15,4,1,6,1,1,1,1,1,1,1,1,1,1,1,1
226,1,32,0,6,19,6,1,1,1,6,1,4,1,6,1,6,7,1,6,6
227,1,47,0,6,17,20,1,5,3,1,4,6,5,5,4,1,7,4,7,5
228,1,33,0,5,19,5,1,11,2,1,5,7,4,1,3,2,3,6,4,5
229,1,30,0,10,17,25,2,10,1,7,1,4,1,3,2,6,5,1,3,3
230,1,34,0,3,23,2,1,2,2,5,2,3,2,1,1,1,6,1,6,1
231,1,57,0,8,15,7,1,10,4,2,2,7,2,3,3,2,6,1,6,6
232,1,27,0,2,17,2,1,5,1,1,1,4,1,1,1,1,4,1,4,1
233,1,34,0,7,23,7,1,4,1,7,1,7,1,4,1,7,7,1,7,5
234,1,25,1,1,20,1,0,0,2,6,1,6,1,3,5,6,6,5,6,5
