Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
241,2,27,1,1,1,24,1,1,1,6,7,5,6,4,6,5,5,5,5,4,5,5,4
242,2,29,1,1,1,17,2,2,5,2,4,6,4,1,4,1,1,1,4,4,1,4,5
243,2,45,1,50,1,14,30,1,10,1,4,4,4,4,6,1,4,4,4,7,4,7,4
244,2,30, ,1,1,21,1,1,8,1,2,1,2,1,1,1,1,1,1,3,1,1,1
245,2,31,1,1,1,16,1,1,1,2,5,2,2,4,2,6,3,6,4,3,2,5,6
246,2,37,1,3,1,15,5,1,2,1,5,6,4,1,5,1,3,1,5,4,1,6,3
247,2,45,1,5,1,17,2,1,6,1,4,7,4,1,7,1,1,1,5,7,1,7,1
248,2,33,1,10,1,18,12,1,4,7,5,7,7,1,7,1,3,1,7,7,1,7,5
249,2,66,1,2,1,21,2,2,2,1,1,7,7,1,4,1,1,1,7,4,4,7,1
250,2,47,1,10,1,16,20,2,25,1,5,5,4,4,4,4,1,1,1,1,1,1,4
251,2,50,1,6,1,19,5,1,10,2,6,7,2,2,6,2,3,4,2,6,2,5,5
252,2,47,1,4,1,13,80,1,3,2,6,5,2,1,3,1,4,3,5,5,1,5,1
254,2,57,1,7,1,17,6,1,0,5,7,7,1,6,4,5,1,6,1,5,5,7,5
255,2,29,1,3,1,17,2,1,3,1,4,6,3,1,7,1,5,1,4,7,1,7,1
256,2,25,1,2,1,16,15,1,1,6,5,6,4,5,6,6,4,7,3,5,6,5,6
258,2,32,1,5,1,19,5,1,6,1,7,5,1,1,3,1,1,2,1,7,1,6,1
259,2,36,1,3,1,14,2,1,20,1,6,7,1,1,6,1,1,1,4,7,2,6,1
260,2,41,1,7,1,26,2,1,0,1,4,5,2,3,3,1,1,1,3,4,1,4,2
261,2,33,1,3,1,18,6,1,15,3,2,5,6,1,6,1,3,2,6,7,1,7,6
262,2,26,1,6,1,17,6,1,2,5,7,7,2,2,6,2,1,1,2,7,2,7,6
263,2,56,1,4,1,27,3,1,2,5,2,6,4,4,6,3,6,1,6,5,3,5,6
264,2,34,1,5,1,15,3,1,1,6,6,6,3,6,6,6,6,6,4,6,6,6,6
265,2,33,1,1,1,25,1,1,5,3,5,5,5,3,4,3,3,3,4,5,3,4,3
266,2,56,1,4,1,17,3,1,8,2,6,6,2,2,6,2,1,5,2,5,5,5,4
267,2,34,1,4,1,23,1,1,4,1,5,6,6,3,7,3,5,2,7,7,3,7,5
268,2,55,1,11,1,17,11,1,3,2,6,5,3,1,5,1,1,1,3,6,1,6,5
269,2,24,1,5,1,16,20,1,4,1,1,4,5,5,6,4,4,5,3,4,5,4,5
270,2,30,1,3,1,19,3,1,8,4,5,5,6,6,6,5,5,4,6,6,6,6,6
271,2,32,1,11,1,18,11,1,8,1,4,3,2,1,6,1,5,1,2,7,1,7,2
272,2,29,1,2,1,20,2,2,2,3,5,6,6,5,5,5,2,4,3,3,5,5,6
273,2,42,1,1,1,23,1,1,2,7,1,2,3,5,6,5,1,1,2,6,1,6,6
274,2,43,1,5,1,16,5,1,15,1,1,1,1,1,7,7,1,1,1,7,1,7,1
275,2,29,1,2,1,21,2,2,0,6,7,5,3,5,6,4,3,6,7,6,5,3,5
276,2,35,1,3,1,16,11,1,15,1,1,1,1,1,1,1,5,1,1,1,1,1,1
277,2,24,1,2,1,17,2,1,1,3,2,2,3,4,3,2,4,3,2,4,3,3,4
278,2,45,1,20,1,15,11,1,6,5,7,6,4,3,6,3,1,4,3,5,3,5,4
280,2,30,1,4,1,18,10,1,2,2,7,6,4,5,5,5,2,5,4,4,6,5,5
281,2,32,1,10,1,19,8,1,0,5,5,6,3,3,5,3,4,4,4,3,2,5,4
282,2,34,1,3,1,14,4,1,0,1,7,5,7,1,5,1,2,1,7,6,1,5,7
283,2,35,1,0,1,20,3,1,30,6,4,7,1,1,7,1,1,5,1,7,1,7,2
284,2,40,1,10,1,16,8,1,3,2,3,6,4,1,4,1,3,1,3,6,1,5,4
