Participant_ID,SEX,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
234,1,2,5,5,6,1,6,1,3,5,6,6,5,6,5
235,1,2,3,5,6,5,5,2,5,5,6,6,5,6,5
237,1,1,2,5,5,3,4,2,2,2,6,7,2,6,5
238,1,7,6,7,6,7,6,5,7,6,5,6,7,6,5
239,1,2,6,7,5,1,7,1,1,1,6,6,1,6,6
240,1,1,1,7,1,1,1,1,1,1,1,7,1,1,1
242,1,2,4,6,4,1,4,1,1,1,4,4,1,4,5
243,1,1,4,4,4,4,6,1,4,4,4,7,4,7,4
244,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1
245,1,2,5,2,2,4,2,6,3,6,4,3,2,5,6
246,1,1,5,6,4,1,5,1,3,1,5,4,1,6,3
247,1,1,4,7,4,1,7,1,1,1,5,7,1,7,1
248,1,7,5,7,7,1,7,1,3,1,7,7,1,7,5
250,1,1,5,5,4,4,4,4,1,1,1,1,1,1,4
251,1,2,6,7,2,2,6,2,3,4,2,6,2,5,5
252,1,2,6,5,2,1,3,1,4,3,5,5,1,5,1
253,1,2,2,5,2,4,6,4,5,2,2,3,2,5,5
254,1,5,7,7,1,6,4,5,1,6,1,5,5,7,5
255,1,1,4,6,3,1,7,1,5,1,4,7,1,7,1
256,1,6,5,6,4,5,6,6,4,7,3,5,6,5,6
258,1,1,7,5,1,1,3,1,1,2,1,7,1,6,1
259,1,1,6,7,1,1,6,1,1,1,4,7,2,6,1
260,1,1,4,5,2,3,3,1,1,1,3,4,1,4,2
261,1,3,2,5,6,1,6,1,3,2,6,7,1,7,6
262,1,5,7,7,2,2,6,2,1,1,2,7,2,7,6
264,1,6,6,6,3,6,6,6,6,6,4,6,6,6,6
265,1,3,5,5,5,3,4,3,3,3,4,5,3,4,3
266,1,2,6,6,2,2,6,2,1,5,2,5,5,5,4
267,1,1,5,6,6,3,7,3,5,2,7,7,3,7,5
268,1,2,6,5,3,1,5,1,1,1,3,6,1,6,5
269,1,1,1,4,5,5,6,4,4,5,3,4,5,4,5
270,1,4,5,5,6,6,6,5,5,4,6,6,6,6,6
271,1,1,4,3,2,1,6,1,5,1,2,7,1,7,2
273,1,7,1,2,3,5,6,5,1,1,2,6,1,6,6
274,1,1,1,1,1,1,7,7,1,1,1,7,1,7,1
276,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1
277,1,3,2,2,3,4,3,2,4,3,2,4,3,3,4
278,1,5,7,6,4,3,6,3,1,4,3,5,3,5,4
280,1,2,7,6,4,5,5,5,2,5,4,4,6,5,5
281,1,5,5,6,3,3,5,3,4,4,4,3,2,5,4
282,1,1,7,5,7,1,5,1,2,1,7,6,1,5,7
283,1,6,4,7,1,1,7,1,1,5,1,7,1,7,2
284,1,2,3,6,4,1,4,1,3,1,3,6,1,5,4
285,1,3,7,7,7,1,7,1,1,1,7,7,2,4,1
286,1,2,4,5,5,2,5,2,3,2,5,5,2,5,4
287,1,4,3,6,5,1,5,1,3,1,5,7,1,6,5
289,1,6,5,6,5,4,5,6,7,6,5,6,1,1,1
290,1,5,6,7,2,4,4,4,1,4,4,5,6,5,1
291,1,1,6,7,1,1,7,1,5,1,1,7,1,4,1
292,1,1,7,4,4,4,4,4,4,3,3,3,3,3,4
293,1,2,7,5,5,2,5,4,3,5,5,3,5,3,5
295,1,5,6,3,2,2,5,2,2,5,2,5,2,5,2
296,1,1,4,7,4,1,7,1,6,1,4,6,1,7,4
297,1,1,1,5,6,3,3,1,1,1,6,5,1,5,2
298,1,5,5,6,2,2,4,2,3,2,2,6,2,6,2
299,1,1,7,7,6,1,5,1,1,1,6,4,1,4,4
300,1,2,2,2,2,2,6,2,2,3,3,3,2,3,3
301,1,1,1,1,1,1,1,1,1,1,1,6,1,4,4
302,1,2,6,6,6,2,6,2,6,6,6,4,6,4,6
303,1,2,5,5,1,1,4,1,4,1,1,5,2,5,5
304,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
305,1,2,2,1,2,2,4,1,1,2,2,6,1,6,5
307,0,1,7,5,2,1,5,1,1,1,2,6,1,5,6
308,0,7,4,3,5,2,7,2,2,2,6,5,3,6,6
309,0,3,5,5,4,4,6,3,2,4,4,5,1,4,3
312,0,1,6,6,7,1,6,1,2,1,7,7,1,7,5
316,0,5,7,6,7,2,5,2,1,2,7,5,2,5,6
318,0,3,4,3,5,4,4,3,2,3,5,5,4,6,2
321,0,3,2,1,2,1,2,2,5,5,5,6,6,5,5
322,0,1,7,7,7,4,7,4,7,4,7,7,1,7,3
323,0,2,7,6,7,1,5,1,4,2,7,6,2,6,5
324,0,2,6,7,6,1,5,1,5,3,7,5,3,4,7
326,0,1,1,1,4,4,5,1,1,1,1,5,1,5,2
328,0,5,6,4,3,4,3,4,6,5,4,3,5,6,5
329,0,1,1,6,1,1,6,1,1,1,1,6,1,6,5
331,0,1,7,6,1,1,6,1,3,1,1,6,1,6,4
334,0,5,5,6,6,5,5,3,5,5,5,4,5,4,5
335,0,1,1,6,6,4,5,1,1,1,6,6,1,6,2
336,0,6,4,3,4,5,4,3,5,6,4,5,4,5,4
337,0,6,6,6,4,5,5,5,7,5,3,6,6,5,7
338,0,6,4,2,4,6,4,6,4,2,4,1,4,2,6
339,0,5,6,6,4,2,4,2,6,2,4,5,2,5,6
340,0,2,4,5,4,1,5,1,1,4,4,7,1,7,5
341,0,6,4,5,6,5,5,4,5,6,4,6,4,5,4
342,0,1,7,6,6,1,7,1,6,6,6,7,6,7,7
343,0,2,2,6,2,1,5,1,2,2,2,4,2,4,2
345,0,5,3,5,6,3,3,5,6,4,3,5,4,6,5
346,0,5,3,5,5,5,4,7,6,2,6,5,2,4,6
347,0,4,4,5,4,5,3,5,4,5,5,4,5,2,5
349,0,4,6,4,5,5,5,4,4,5,6,6,5,5,5
350,0,4,4,5,4,5,6,5,5,4,5,5,5,5,5
353,0,1,4,5,6,1,5,4,5,3,6,6,3,7,5
354,0,1,7,7,1,1,7,1,1,5,1,7,6,7,1
357,0,2,2,2,5,5,6,2,5,2,6,6,2,5,6
358,0,1,2,6,4,4,7,1,4,1,4,7,2,7,6
359,0,2,2,5,1,3,7,2,4,2,1,7,4,7,1
360,0,5,5,6,4,5,6,4,5,6,4,3,5,6,5
361,0,5,3,6,5,5,5,5,4,6,6,6,5,4,6
362,0,6,6,6,7,6,7,7,6,2,7,6,6,6,7
363,0,5,5,6,3,2,5,3,5,1,5,2,6,3,5
364,0,5,3,4,2,5,3,4,3,3,6,5,3,5,4
365,0,2,6,4,1,2,7,2,2,1,1,7,1,7,5
366,0,2,4,6,7,5,4,5,2,4,7,7,1,7,6
368,0,5,6,5,6,5,5,5,5,6,5,6,5,5,6
371,0,4,2,3,4,3,4,4,1,3,1,3,4,1,1
373,0,1,7,7,7,1,7,1,1,4,7,7,1,7,7
374,0,2,6,6,5,6,6,1,4,1,5,7,1,6,2
375,0,1,2,5,6,2,7,2,3,5,6,6,4,6,7
378,0,1,5,6,6,1,6,1,5,4,6,6,1,6,6
380,0,1,4,6,7,1,6,1,1,1,6,7,1,6,5
381,0,1,1,7,7,1,7,1,2,1,7,6,1,6,7
382,0,6,6,4,3,4,3,5,3,3,5,5,2,4,4
385,0,1,5,6,5,1,7,1,1,1,6,7,1,6,6
387,0,4,5,6,6,4,6,3,3,4,6,6,4,6,6
388,0,1,1,1,6,4,7,5,7,5,7,7,6,7,1
389,0,1,7,7,7,1,7,1,1,1,7,7,1,7,7
390,0,5,4,3,5,6,5,2,3,4,2,6,3,3,1
391,0,1,4,6,2,1,7,1,1,2,6,6,5,6,6
392,0,2,6,3,4,1,5,2,5,4,3,4,2,4,4
393,0,1,2,6,6,1,6,2,2,1,6,5,1,5,5
394,0,3,6,6,1,2,5,1,1,1,1,7,1,7,4
395,0,3,4,6,2,2,7,2,6,6, ,6,5,7,2
396,0,4,4,5,4,4,5,4,5,4,4,6,4,5,5
397,0,6,5,6,5,6,5,6,6,4,4,4,5,4,5
398,0,1,7,3,1,1,4,1,1,1,1,6,1,5,3
399,0,1,7,5,5,6,5,4,6,3,5,6,3,5,3
400,0,5,7,7,5,5,7,7,6,7,5,7,5,7,5
