ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
311,0,29,0,1,20,1,1,6,5,4,4,5,4,6,5,4,4,3,4,4
315,0,29,0,10,26,1,1,4,1,3,5,3,5,3,7,5,3,5,4,6
317,0,29,0,5,14,12,5,4,5,5,4,5,3,4,5,5,6,3,5,5
342,0,29,0,7,16,7,1,22,1,6,1,7,1,6,6,6,7,6,7,7
364,0,29,0,5,17,9,1,3,5,2,5,3,4,3,3,6,5,3,5,4
374,0,29,1,10,17,11,0,0,2,5,6,6,1,4,1,5,7,1,6,2
378,0,29,0,6,18,4,1,8,1,6,1,6,1,5,4,6,6,1,6,6
384,0,29,0,1,18,1,1,1,6,5,4,7,6,4,6,5,3,5,5,3
389,0,29,0,4,24,3,1,5,1,7,1,7,1,1,1,7,7,1,7,7
38,0,28,0,3,17,4,1,0,3,2,4,5,4,1,3,2,5,3,5,6
68,0,28,0,6,18,4,1,1,7,5,2,4,2,6,2,6,7,2,7,7
108,0,28,0,5, ,0,0,0,6,6,2,5,2,2,2,2,2,2,3,5
113,0,28,0,2,27,2,1,1,5,2,5,6,6,7,6,6,4,5,2,3
117,0,28,0, ,13,4,1,4,5,6,5,6,7,7,7,5,7,6,6,4
136,1,28,0,1,16,1,1,3,1,5,1,4,1,1,1,4,5,1,6,4
217,1,28,0,5,18,5,3,4,7,6,6,7,6,7,6,5,6,5,6,6
237,1,28,0,3,15,3,1,6,1,5,3,4,2,2,2,6,7,2,6,5
288,1,28,0,3,18,10,15,10,1,3,1,7,1,2,1,2,3,1,3,1
300,1,28,0,2,21,2,1,12,2,2,2,6,2,2,3,3,3,2,3,3
327,0,28,0,3,18,2,2,2,5,4,5,3,4,5,6,3,3,3,4,4
367,0,28,0,2,21,3,1,35,3,6,5,5,5,6,6,5,4,4,3,4
372,0,28,0,2, ,0,0,0,5,3,5,3,4,2,3,4,3,4,3,4
376,0,28,0,3,22,2,1,1,5,5,5,5,3,4,5,5,3,5,3,6
377,0,28,0,2,19,2,1,0,1,5,1,4,1,1,1,5,7,1,4,5
33,0,27,0,1,22,1,1,3,5,5,5,4,5,5,5,3,6,5,5,4
79,0,27,0,4,18,10,2,15,6,7,1,7,1,6,7,7,7,4,7,7
88,0,27,0,2,16,1,2,1,4,5,5,3,3,6,3,6,3,5,3,6
104,0,27,0,3,19,2,1,3,1,4,5,6,1,2,4,4,6,1,6,2
138,1,27,0,10,17,10,1,10,2,5,1,7,1,1,1,7,7,1,7,5
141,1,27,0,100,21,1,1,10,2,3,4,4,4,4,3,4,3,4,3,4
143,1,27,0,2,22,2,1,9,4,5,5,5,5,4,4,4,4,4,4,4
172,1,27,0,1,20,1,1,4,2,6,2,6,2,3,2,6,6,2,7,6
176,1,27,0,7,17,10,1,2,4,2,3,3,3,3,2,2,5,2,5,3
