Participant_ID,SEX,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
160,1,1,7,6,1,1,1,1,1,1,1,7,1,7,1,6,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,4,6
162,1,5,1,5,5,1,7,1,7,2,5,7,2,7,2,5,5,2,3,2,6,1,2,7,4,7,2,2,1,1,1,1,5,1,1
163,1,3,3,3,5,1,3,1,1,1,5,5,1,4,5,6,7,3,5,7,7,7,7,7,6,7,7,7,7,7,3,3,3,1,1
164,1,1,7,7,4,1,1,1,3,1,6,4,1,1,1,7,4,2,6,7,6,6,5,7,4,7,2,5,5,5,5,5,5,5,5
165,1,1,2,1,7,3,7,1,1,1,6,6,1,7,6,5,6,5,6,4,5,3,1,3,6,7,7,1,1,1,3,1,1,2,5
166,1,6,2,2,4,4,5,4,2,6,4,6,4,6,6,6,6,6,6,6,7,2,6,7,3,7,6,6,6,6,7,7,7,3,2
167,1,1,7,3,2,7,1,7,2,1,1,7,1,7,1,6,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
168,1,2,6,3,5,6,5,5,1,1,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7
169,1,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
170,1,1,3,3,1,1,5,1,3,4,1,6,1,6,3,6,6,3,5,7,5,7,7,7,7,7,6,6,6,6,5,5,5,4,3
171,1,2,6,2,6,2,6,2,5,2,7,6,2,6,7,3,5,5,6,5,2,2,2,5,5,1,7,5,5,5,5,6,5,3,3
172,1,2,7,3,6,2,6,2,3,2,6,6,2,7,6,5,5,6,5,7,5,7,7,4,7,2,7,5,5,6,3,3,5,2,4
173,1,2,3,2,7,3,6,3,3,3,7,5,5,5,5,5,3,5,5,5,5,7,7,7,6,7,6,7,7,7,6,6,6,5,5
174,1, , , , , , , , , , , , , , ,3,5,2,2,6,5,1,3,4,7,6,2,3,3,2,5,6,6,1,4
175,1,4,3,2,7,1,7,1,3,2,4,7,2,7,6,6,6,6,7,7,6,6,6,4,6,7,7,5,3,3,7,7,7,7,1
176,1,4,2,2,2,3,3,3,3,2,2,5,2,5,3,4,6,5,6,5,4,7,6,6,3,6,5,6,5,5,3,3,3,2,2
177,1,1,7,7,4,1,5,1,2,1,6,6,1,6,6,6,6,7,7,7,6,7,6,7,7,7,7,4,6,7,7,6,6,6,1
178,1,2,4,3,5,1,6,1,1,2,4,6,2,6,5,2,3,1,7,5,7,6,7,7,6,7,7,6,5,6,5,5,5,3,5
179,1,2,7,2,7,1,6,1,6,1,7,6,1,7,3,3,3,2,3,7,5,2,2,7,7,7,5,7,7,7,6,6,6,3,1
180,1,2,6,6,2,2,7,2,2,2,2,5,1,6,2,1,1,1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,6
184,1,1,3,2,5,1,4,1,2,2,6,2,2,4,2,5,6,2,6,6,6,7,2,7,6,7,7,7,6,6,5,4,4,2,6
185,1,1,7,6,4,2,3,1,1,1,4,6,1,5,4,5,6,5,4,6,6,5,6,5,4,4,7,6,5,5,6,5,5,5,5
186,1,6,4,4,2,2,5,1,4,4,1,6,1,6,2,5,6,6,6,7,7,4,4,3,4,7,5,3,3,5,5,5, ,1,4
187,1,4,5,5,4,4,3,2,3,4,4,4,3,3,3,4,5,6,5,5,5,5,4,4,4,3,5,4,6,4,5,5,4,4,4
188,1,1,7,3,1,2,3,1,1,1,1,7,1,7,6,5,6,5,5,4,6,7,6,6,7,1,7,7,6,7,7,6,7,6,7
189,1,2,6,2,1,1,5,1,1,1,1,5,1,5,2,5,5,5,6,6,5,6,3,6,6,7,5,7,7,7,3,3,5,2,1
190,1,4,2,3,2,2,6,2,2,2,2,6,2,3,2,4,5,6,6,5,6,7,7,7,7,7,6,6,5,5,5,5,5,6,6
191,1,1,7,2,6,1,6,1,1,1,6,7,1,7,1,5,6,6,7,6,5,7,1,4,7,7,7,7,5,7,4,4,6,4,7
192,1,3,4,3,4,4,5,3,2,2,4,5,2,6,4,5,5,5,5,6,5,7,7,7,7,7,7,6,6,6,5,5,5,5,5
193,1,5,4,3,6,1,6,1,2,6,6,7,3,7,4,6,6,7,6,3,2,7,2,7,7,1,7,7,7,7,5,4,4,5,6
194,1,3,2,2,2,2,6,2,2,5,2,5,4,6,5,5,5,5,5,5,5,3,6,7,4,7,4,4,4,4,5,5,5,5,3
195,1,1,7,1,7,1,7,1,6,1,7,7,1,7,5,2,3,1,2,3,3,7,4,4,4,7,3,2,5,5,5,5,5,2,4
196,1,3,2,3,2,3,5,3,2,3,3,5,4,7,5,6,7,7,7,7,6,1,6,6,4,7,7,3,5,6,5,5,5,5,5
198,1,4,1,2,7,4,7,6,6,5,6,7,6,5,6,6,7,4,7,7,7,7,5,4,6,7,3,6,6,6,7,7,7,7,4
199,1,5,6,5,6,1,6,1,5,1,6,7,1,7,1,2,5,1,2,4,6,7,1,5,5,1,4,4,5,6,3,5,7,1,1
201,1,2,1,4,4,5,4,5,3,2,4,6,2,5,2,6,6,4,6,6,4,7,5,7,6,7,3,5,5,5,5,5,5,3,1
202,1,1,1,1,4,1,5,1,1,1,5,5,1,5,5,6,7,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,3,5
203,1,1,2,1,1,1,7,1,1,1,1,7,1,7,3,2,6,7,6,6,6,6,5,7,7,7,7,5,6,7,7,7,7,7,7
