ParticipantID,ParticipantSex,ParticipantAge,PartnerNumber,HadSex,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
123,2,24,1,1,23,1,1,1,6,5,3,4,5,3,4,5,3,5,6,4,2,4,6,4,2,3,4,4,8,4,5,6,4,3,4,5,6,5,3,4,5,6,5,3,4,5,4,6,5,3,4
124,2,42,5,1,17,8,1,1,1,7,4,6,1,4,1,1,4,6,4,1,4,6,2,3,3,9,9,5,3,3,3,5,5,6,6,4,5,6,6,6,6,7,4,6,6,6,6,6,6,6,4
125,2,40,3,1,17,2,1,6,1,6,6,6,2,5,2,2,2,6,6,2,6,6,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,4,4,7,7,7,7,7,4,2,6,2,6,6,6
126,2,44,3,1,20,2,1,8,2,5,3,2,2,7,2,2,1,2,6,1,6,2,2,2,2,2,1,2,3,2,2,5,6,5,6,6,5,7,5,7,5,1,7,6,5,5,6,7,7,7,6
128,2,25,5,1,14,5,1,0,4,5,6,6,5,5,4,6,3,5,7,1,7,7,2,4,4,9,9,9,3,3,1,6,6,4,4,6,5,6,6,7,7,7,7,7,7,6, ,6,7,7,1
129,2,41,4,1,18,2,0,0,4,7,6,4,3,6,2,3,6,4,6,2,6,5,2,1,2,1,1,3,1,2,1,4,6,7,6,7,7,7,7,4,5,7,6,7,7,7,5,5,5,5,7
131,2,29,1,1,20,11,1,0,1,7,7,1,1,7,1,2,4,1,7,2,7,1,2,4,2,9,5,8,9,5,3,2,6,1,2,2,4,5,1,1,1,7,1,4,2,4,5,2,7,3,1
132,2,24,1,1,21,1,1,1,7,7,5,4,5,5,4,4,4,4,5,4,5,5,8,6,6,7,5,5,8,7,6,6,6,5,4,6,5,6,4,6,7,5,7,7,5,6,6,6,5,7,5
133,2,33,8,1,16,7,1,3,3,6,4,5,2,5,3,3,2,5,4,2,4,5,2,3,3,2,1,2,2,2,1,4,5,5,6,6,4,3,4,6,6,7,5,6,5,6,6,6,6,6,6
134,2,39,5,1,18,5,1,6,2,6,6,5,2,7,2,5,3,5,6,2,4,5,2,3,3,6,4,4,2,2,3,5,6,7,7,6,2,2,1,7,6,2,6,5,5,6,5,6,6,6,5
