ParticipantID,SEX,ParticipantAge,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
22,0,30,7,4,5,5,2,7,2,2,2,6,5,3,6,6,2,2,2,1,2,8,1,1,1,6,6,6,7,7,5,6,7,6,7,2,5,7,7,7,7,7,7,6,6
23,0,30,1,1,3,2,1,5,1,1,1,2,6,1,5,6,1,2,1,8,1,6,7,5,4,5,7,5,2,5,6,2,2,4,5,6,7,6,3,1,5,7,5,1,1
24,0,30,1,7,7,1,1,1,1,6,6,6,6,6,7,5,1,1,2,3,8,7,2,3,2,4,5,4,4,4,4,5,4,4,4,7,7,5,4,4,4,5,5,4,5
25,0,25,6,3,5,6,6,7,6,7,6,5,6,5,6,6,3,2,1,2,3,8,2,2,3,5,6,2,7,6,2,6,5,5,7,5,6,5,5,5,6,6,6,5,6
26,0,29,6,2,4,6,6,6,2,7,4,7,7,1,7,6,3,2,2,1,5,7,4,3,2,7,7,1,7,7,5,6,6,7,7,6,6,7,7,7,7,7,7,7,7
27,0,24,5,2,1,6,2,7,2,6,5,6,7,5,6,5,4,3,5,8,8,2,7,6,6,5,7,6,7,5,3,7,5,4,7,2,3,5,6,6,7,6,7,7,2
29,0,35,1,1,1,1,1,7,1,7,1,1,7,1,7,1,2,1,1,9,9,1,2,2,1,7,7,7,7,7,7,7,7,4,7,7,1,7,7,7,5,5,5,3,1
31,0,22,3,2,3,3,3,6,3,2,5,4,2,6, ,5,4,6,5,4,6,8,4,9,5,5,3,4,6,5,2,3,6,5,4,3,4,4,2,4,5,6,5,4,3
32,0,34,7,4,4,7,2,4,6,7,7,7,4,3,4,4,5,9,9,9,9,1,8,8,8,4,5,2,7,7,6,2,2,4,4,1,1,1,1,1,1,1,1,1,1
34,0,32,1,6,2,2,2,6,2,2,2,3,5,2,7,2,2,2,1,1,1,9,2,2,1,5,5,5,3,3,5,6,5,7,7,6,7,7,7,7,7,6,6,5,7
36,0,49,6,3,4,5,5,5,5,6,5,5,5,4,6,6,2,8,6,5,4,3,7,7,7,6,6,7,6,7,5,6,5,4,5,6,3,6,5,6,7,5,5,3,2
37,0,34,7,1,2,7,4,7,4,7,6,7,7,4,5,6,2,8,5,9,9,1,8,6,7,6,6,5,6,7,3,7,7,4,7,3,1,7,7,6,7,6,6,3,5
39,0,26,4,4,3,5,4,6,5,6,4,6,6,5,6,6,2,3,2,6,8,4,7,6,5,5,6,5,5,6,6,5,6,4,5,5,6,5,4,5,6,6,6,5,2
41,0,33,2,6,2,5,6,7,2,2,7,6,6,2,1,6,2,2,1,5,3,1,7,6,1,6,6,6,2,6,6,1,1,1,7,2,7,1,6,6,6,6,6,6,6
42,0,32,6,2,1,7,4,7,5,5,6,7,6,4,6,4,8,7,8,9,9,1,8,8,8,7,7,7,7,7,3,7,7,7,7,3,1,7,7,7,7,7,7,4,1
43,0,29,7,1,4,1,1,4,1,1,1,5,7,1,7,7,2,2,1,1,1,5,5,7,7,6,7,6,7,6,1,7,7,7,7,1,7,5,5,6,7,7,7,6,6
45,0,70,3,3,3,3,2,6,4,5,5,2,6,3,5,2,1,6,5,4,6,1,2,2,3,3,5,5,7,3,3,1,1,3,2,2,3,1,2,5,4,3,4,2,2
46,0,45,1,7,7,1,1,1,1,1,1,1,6,1,6,2,2,1,1,1,1,9,1,1,1,6,6,7,6,6,6,4,6,7,7,1,7,4,6,4,4,4,5,4,4
47,0,32,1,7,3,7,5,5,2,6,5,5,4,2,5,6,2,1,1,2,6,5,9,9,9,5,6,6,6,5,5,7,6,7,7,7,7,6,5,4,6,4,5,4,5
48,0,65,5,1,1,4,1,5,2,6,4,3,4,4,4,5,4,9,9,9,9,1,3,2,8,7,7,6,7,7,6,6,6,1,6,6,1,1,1,1,2,2,2,1,1
52,0,32,5,2,2,5,3,6,4,2,4,6,6,4,6,4,2,3,1,6,3,7,6,5,5,6,6,4,6,6,5,6,6,4,7,6,5,6,6,6,5,5,5,4,1
53,0,40,3,1,3,1,1,7,1,2,2,1,5,1,5,3,2,3,7,9,9,1,7,5,5,6,6,7,5,7,4,7,7,4,7,7,2,7,7,7,6,3,5,4,4
54,0,51,5,1,1,7,1,5,1,7,1,7,7,1,7,7,2,2,5,9,9,1,8,6,6,6,7,7,7,7,5,5,5,6,7,7,1,7,6,6,1,5,5,2,1
55,0,40,4,4,1,7,1,6,1,2,2,7,7,1,7,4,1,1,1,9,1,9,7,6,3,5,6,4,7,6,6,7,7,4,7,5,7,7,7,7,6,5,6,2,4
56,0,34,2,2,2,2,3,5,4,4,1,2,6,1,4,6,2,6,6,3,2,4, , , ,5,5,4,3,5,5,5,1,4,6,4,4,7,6,5,6,5,5,5,7
57,0,22,2,1,3,5,5,6,2,2,6,5,5,2,6,3,1,3,3,9,2,4,7,6,4,5,6,6,6,5,3,5,3,4,4,7,6,3,5,3,3,3,3,2,1
58,0,45,2,3,3,6,1,6,1,5,1,7,7,1,7,5,2,6,6,7,3,7,6,5,7,6,5,3,5,6,5,2,1,3,5,7,6,4,3,3,5,5,5,2,1
59,0,54,5,5,2,1,5,6,5,6,5,1,5,4,5,3,3,8,9,8,8,1,6,2,3,5,6,3,6,7,3,3,5,2,4,5,2,7,7,7,3,2,2,1,1
60,0,66,2,5,4,4,3,6,4,5,3,4,6,2,5,4,2,7,8,7,9,2,9,7,9,5,3,1,5,5,7,7,7,7,6,3,2,3,3,2,3,5,3,2,2
61,0,76,5,3,4,1,6,4,5,5,5,1,4,5,4,1,1,8,8,8,8,2,6,5,6,4,5,5,5,3,3,2,2,5,4,3,2,4,3,3,4,3,3,3,4
62,0,59,2,3,3,1,1,5,2,4,5,2,5,5,5,2,2,5,5,7,6,2,4,3,4,6,5,6,5,5,3,6,5,6,5,7,6,5,5,5,5,5,5,4,4
63,0,35,1,2,1,5,1,5,1,6,2,5,5,2,5,2,2,3,5,8,8,2,4,2,2,5,5,5,7,4,4,7,4,7,7,6,3,6,5,5,5,5,5,3,1
64,0,46,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
65,0,48,1,7,6,7,1,7,1,5,3,7,4,1,4,5,2,1,1,8,1,9,7,2,4,5,7,5,7,7,6,6,2,4,6,7,7,1,1,1,1,1,1,1,1
66,0,36,1,2,3,5,1,4,1,2,1,5,4,1,3,3,1,2,2,6,4,5,7,6,3,3,5,3,4,6,6,6,5,4,4,7,5,7,7,6,6,6,6,3,4
68,0,28,7,4,3,5,2,4,2,6,2,6,7,2,7,7,2,2,2,8,6,2,9,9,9,4,6,3,6,6,5,1,1,7,5,7,6,2,1,1,6,6,4,3,5
69,0,53,1,4,3,2,1,1,1,1,1,1,4,1,4,1,2,2,2,1,1,9,6,6,6,5,5,5,6,6,5,7,2,7,7,7,7,7,5,5,4,4,4,4,7
73,0,35,2,2,2,7,1,6,7,5,2,7,5,1,6,7,2,2,3,1,2,5,5,3,2,5,4,5,5,5,5,6,6,6,6,7,2,4,4,4,5,4,4,4,6
74,0,69,1,3,3,1,1,5,1,5,1,1,7,2,7,5,2,3,2,3,3,7,1,1,2,6,6,7,7,7,5,5,3,6,7,7,6,3,3,5,6,6,6,2,1
75,0,30,1,7,7,1,1,5,1,1,1,1,6,1,7,1,2,4,7,6,1,6,5,3,6,7,7,6,7,6,3,5,3,7,7,7,6,6,4,4,2,3,2,1,1
76,0,30,2,6,2,6,2,6,2,6,5,6,7,4,6,6,2,5,6,9,9,1,8,7,6,6,6,7,7,7,2,7,7,4,7,5,1,7,7,7,7,7,7,6,5
77,0,25,6,4,5,6,5,6,5,4,6,3,4,5,5,2,2,2,2,7,6,5,7,6,7,5,4,3,5,6,5,4,3,5,6,5,3,3,5,6,6,4,5,3,5
78,0,34,3,5,3,6,2,3,3,3,2,5,4,2,4,2,1,1,1,8,8,2,4,4,2,5,5,3,5,6,5,6,4,4,4,4,2,3,2,2,3,2,2,1,1
79,0,27,6,4,1,7,1,7,1,6,7,7,7,4,7,7,3,1,6,7,8,1,4,4,3,7,7,6,7,5,4,7,1,4,7,1,4,7,7,7,7,7,7,4,1
80,0,63,2,6,2,4,2,6,2,5,6,6,7,2,7,7,2,4,6,1,1,5,4,5,3,6,2,7,7,6,3,6,4,5,7,7,5,7,4,4,6,6,6,6,6
81,0,33,4,3,5,3,2,2,4,4,2,1,4,5,5,3,2,1,1,8,6,3,4,5,7,4,3,2,4,6,5,4,3,2,4,4,3,5,4,3,1,3,4,5,3
82,0,38,3,4,3,4,2,6,4,4,5,4,4,5,4,3,2,2,2,4,5,5,1,6,2,5,6,4,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7
83,0,38,3,5,3,5,3,5,3,5,5,5,5,5,5,5,2,3,3,6,6,4,2,2,2,5,5,5,3,5,5,6,6,6,6,5,5,5,5,5,6,6,6,5,5
84,0,36,1,1,1,1,1,7,1,1,1,1,7,1,7,1,2,1,1,7,7,1,5,1,5,7,7,7,7,7,4,7,1,7,7,7,4,1,1,1,6,6,6,6,1
85,0,25,5,2,2,5,5,6,6,6,5,5,5,6,6,5,2,2,2,1,2,5,6,8,8,7,5,6,6,7,6,1,2,1,6,6,6,5,6,6,6,5,6,5,7
86,0,51,2,3,3,5,2,7,2,3,3,5,6,3,6,5,2,6,6,7,5,5,6,6,6,5,5,5,7,5,4,6,5,7,6,7,5,1,1,1,7,7,7,4,5
87,0,45,1,1,1,3,1,5,1,4,1,2,7,1,6,1,2,6,8,8,7,2,6,2,2,6,6,7,7,7,5,4,4,4,7,7,5,4,4,4,6,6,7,6,4
88,0,27,4,2,5,5,5,3,3,6,3,6,3,5,3,6,3,7,5,4,7,4,5,8,5,3,7,3,6,3,6,5,2,6,4,3,6,4,1,6,3,3,6,2,5
89,0,36,1,1,1,5,1,6,1,1,4,5,7,1,7,5,4,7,9,9,9,1,3,3,1,6,7,7,7,7,1,7,7,1,7,6,1,7,7,7,7,7,7,5,1
90,0,61,4,4,2,6,1,3,1,4,1,4,5,1,4,3,2,1,1,3,1,9,2,2,2,5,6,3,6,6,6,5,5,5,5,7,7,3,2,2,2,5,3,2,5
91,0,26,5,1,2,7,7,6,6,5,4,7,6,6,7,7,2,2,3,8,8,2,5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
93,0,31,1,4,3,2,1,6,1,1,1,1,7,1,7,4,2,2,2,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,0,32,2,7,6,2,1,3,2,2,1,2,2,1,1,3,2,4,3,5,7,5,3,2,2,5,4,4,6,6,4,6,5,4,5,5,4,4,5,3,3,4,6,5,1
96,0,76,2,3,3,2,2,6,2,3,3,2,4,2,4,1,1,6,6,9,1,9,1,1,1,3,3,3,5,5,5,5,5,5,4,5,5,5,5,5,3,3,3,3,3
97,0,67,1,7,2,6,1,6,1,1,1,6,6,1,6,6,2,6,7,9,8,1,4,4,4,6,7,7,6,5,3,1,1,6,7,7,6,1,1,1,1,1,1,1,1
98,0,25,1,7,1,5,1,4,1,1,1,2,5,1,6,5,1,1,1,2,6,9,5,6,4,2,6,2,6,2,2,5,2,4,4,7,7,3,6,6,2,5,6,2,5
99,0,32,2,1,1,6,4,6,4,2,2,6,6,6,7,6,2,2,2,3,4,5,4,4,3,7,7,6,7,7,6,7,7,4,6,7,6,2,6,6,1,6,6,5,5
100,0,48,1,7,4,7,1,7,1,7,4,7,6,1,7,4,2,9,9,5,9,1,7,2,7,5,6,7,6,4,1,7,7,4,7,7,1,7,7,7,5,6,6,1,4
101,0,33,1,7,1,1,1,7,1,1,3,1,5,3,6,3,2,9,8,4,1,8,1,1,1,6,7,4,7,4,1,7,7,7,7,7,5,3,6,4, ,5,5,7,6
103,0,33,1,7,2,2,1,5,1,2,1,4,6,1,5,5,2,2,4,8,8,4,7,6,3,5,5,5,6,6,6,7,7,4,7,7,5,3,6,6,5,6,6,2,4
104,0,27,1,3,2,4,5,6,1,2,4,4,6,1,6,2,2,2,1,3,1,8,2,2,1,6,6,5,6,7,7,4,4,4,6,7,7,5,4,4,5,3,3,1,1
107,0,36,1,7,7,1,1,1,1,1,1,1,1,1,1,1,2,1,2,7,2,7,2,3,2,4,3,3,5,4,4,4,4,4,6,7,6,6,7,6,6,5,6,1,1
108,0,28,6,6,2,6,2,5,2,2,2,2,2,2,3,5,1,1,1,1,1,2,3,2,2,6,6,6,6,6,3,6,5,5,5,4,6,5,5,5,5,5,5,5,6
109,0,25,1,7,1,2,1,5,1,1,1,2,7,1,7,3,2,1,1,3,1,9,1,1,1,5,6,6,5,5,5,6,6,6,6,7,7,7,7,7,5,5,4,4,1
111,0,25,6,4,4,5,4,5,5,6,4,5,5,5,6,5,3,2,2,5,8,3,6,6,6,5,6,5,4,5,5,5,5,6,6,4,5,5,5,5,4,5,5,6,6
112,0,49,2,2,1,7,1,7,1,6,1,7,4,1,4,2,2,1,1,4,3,5,7,7,7,7,7,6,7,5,3,3,5,7,4,7,2,6,3,3,6,5,5,1,1
113,0,28,5,2,3,2,5,6,6,7,6,6,4,5,2,3,2,2,3,3,5,9,2,3,2,6,7,5,3,7,2,5,5,6,6,6,5,6,7,6,6,4,5,6,5
114,0,36,5,3,3,3,3,6,6,6,5,5,5,5,5,6,2,6,6,9,9,1,8,7,7,5,6,6,5,4,3,3,2,2,5,2,1,2,4,3,4,3,4,1,1
